# Instrument response (observed / reference). Reference: a0v.dat. Method: raw obs/ref, Balmer-interpolated (±40 Å), tellurics preserved, off-telluric smooth FWHM=40 Å.
# wavelength_A  value
7239.0013  1.544119e+05
7246.4541  1.543405e+05
7253.9045  1.543952e+05
7261.3525  1.545204e+05
7268.7981  1.548368e+05
7276.2412  1.554927e+05
7283.6819  1.565481e+05
7291.1202  1.579550e+05
7298.5560  1.595964e+05
7305.9894  1.613249e+05
7313.4203  1.629912e+05
7320.8487  1.644769e+05
7328.2746  1.657289e+05
7335.6980  1.667670e+05
7343.1190  1.676474e+05
7350.5374  1.684097e+05
7357.9533  1.690496e+05
7365.3667  1.695376e+05
7372.7775  1.698656e+05
7380.1858  1.700802e+05
7387.5915  1.702663e+05
7394.9946  1.704827e+05
7402.3952  1.707096e+05
7409.7932  1.708726e+05
7417.1886  1.709273e+05
7424.5814  1.709158e+05
7431.9716  1.709297e+05
7439.3591  1.710139e+05
7446.7440  1.711035e+05
7454.1263  1.710483e+05
7461.5059  1.707082e+05
7468.8829  1.700478e+05
7476.2572  1.691600e+05
7483.6289  1.681899e+05
7490.9978  1.672088e+05
7498.3641  1.661403e+05
7505.7276  1.647893e+05
7513.0884  1.629186e+05
7520.4466  1.602797e+05
7527.8019  1.565912e+05
7535.1546  1.515631e+05
7542.5045  1.450412e+05
7549.8516  1.372038e+05
7557.1960  1.286558e+05
7564.5376  1.162568e+05
7571.8764  1.064890e+05
7579.2124  1.008731e+05
7586.5456  9.774096e+04
7593.8760  9.858271e+04
7601.2035  1.045365e+05
7608.5283  1.112783e+05
7615.8502  1.144506e+05
7623.1692  1.168121e+05
7630.4854  1.242452e+05
7637.7988  1.290576e+05
7645.1092  1.334310e+05
7652.4168  1.370977e+05
7659.7214  1.400051e+05
7667.0232  1.422992e+05
7674.3221  1.441880e+05
7681.6180  1.457929e+05
7688.9110  1.470802e+05
7696.2010  1.479082e+05
7703.4882  1.481632e+05
7710.7723  1.478872e+05
7718.0535  1.472847e+05
7725.3317  1.466053e+05
7732.6069  1.460227e+05
7739.8792  1.456192e+05
7747.1484  1.454395e+05
7754.4146  1.454909e+05
7761.6778  1.456634e+05
7768.9380  1.456962e+05
7776.1951  1.453062e+05
7783.4492  1.443983e+05
7790.7002  1.431444e+05
7797.9481  1.418430e+05
7805.1930  1.407013e+05
7812.4348  1.397349e+05
7819.6735  1.388271e+05
7826.9091  1.378507e+05
7834.1415  1.367496e+05
7841.3709  1.355521e+05
7848.5971  1.343342e+05
7855.8202  1.331608e+05
7863.0401  1.320429e+05
7870.2569  1.309466e+05
7877.4705  1.298498e+05
7884.6810  1.287935e+05
7891.8882  1.278797e+05
7899.0923  1.272154e+05
7906.2931  1.268455e+05
7913.4908  1.267216e+05
7920.6852  1.267262e+05
7927.8764  1.267321e+05
7935.0643  1.266445e+05
7942.2490  1.263908e+05
7949.4305  1.258964e+05
7956.6087  1.251058e+05
7963.7836  1.240442e+05
7970.9552  1.228420e+05
7978.1235  1.216743e+05
7985.2885  1.206707e+05
7992.4502  1.198785e+05
7999.6086  1.192910e+05
