css,names,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
1256,"NassSte 17, Dol61 10, S 672",,,196274789,10.0,,315.3362,+36.4292,Cyg
1258,"NassSte 18, Henun 235, S 673",,,163299040,10.0,,316.2742,+35.6650,Cyg
1267,"+31:4391, Henun 236, Ste, S 680",,2702-960-1,430100815,9.3,S2/4(KB),318.9217,+31.7606,Cyg
1274,"Ste, S 685",,3602-202-1,64892610,10.0,MS(Ste),322.4688,+51.2631,Cyg
1283,Ste,,2210-341-1,16544745,9.7,M4S(Ste),326.6792,+28.0514,Peg
1287,Ste,,2207-632-1,18107055,9.3,M3S(Ste),329.8225,+24.6833,Peg
1292,"211610(Md), X Aqr, S 700",211610,6384-1506-1,206600436,7.5,"S6,3e:(K)",334.6629,-20.9011,Aqr
1294,"212087(S), Pi1 Gru, S 702",212087,8439-392-1,382420379,5.9,"S5,7:(K)",335.6812,-45.9472,Gru
1295,"Henun 203, S 703",,8822-82-1,143996798,9.7,"S4,4(Henun)",335.8071,-53.9453,Gru
1301,Ste,214285,5814-1430-1,251001120,8.8,M4S(Ste),339.3087,-10.2675,Aqr
1303,"BidMac, CSV 103101, S 709",,8010-1309-1,44624591,9.4,"S6,6(Henun)",341.2550,-44.8767,Gru
1304,Ste,215336,2744-435-1,10726860,8.8,Swk(Ste),340.9546,+33.9267,Peg
1315,"216672(Mb), HR Peg, S 718",216672,1702-780-1,91205840,6.5,S4/1(KB),343.6471,+16.9442,Peg
1319,Ste,,576-948-1,310977810,9.3,Swk(Ste),346.7708,+2.2767,Psc
1322,"218634(Mb), 57 Peg, S 723",218634,1161-1796-1,402902449,5.4,M4S(K),347.3829,+8.6753,Peg
1334,"+28:4592, Sndlk, Ste(Swk), S 733",,2256-1443-1,44450922,9.5,S2/3:(KB),352.4300,+29.2447,Peg
1335,"+42:4690, BG And, Ste, S 734",,3243-267-1,240632364,9.3,S5/3e(KB),352.7517,+43.2650,And
1346,"224960(Md), W Cet, S 740",224960,5266-514-1,,7.1,S5-7/1.5-3e(KB),0.5308,-14.6750,Cet
