name,hd,tyc,tic,vartype,maxmag,minmag,names,ra_deg,dec_deg,constellation
V693 CrA,,,,NA,7.0,21.0,,280.4908,-37.5206,CrA
V827 Her,,,,NA,7.5,18.1,,280.9275,+15.3219,Her
Aql,,,,UG:,10.4,13.0,NSV 11280,281.1500,-2.9833,Aql
V368 Sct,,,,NA,6.9,19.0,,281.4315,-8.5503,Sct
V838 Her,,,,NA,5.4,15.4,,281.6311,+12.2339,Her
Sct,,,,N::,8.0,22.0,NSV 24587,281.7129,-4.9439,Sct
V444 Sct,,,,NA,10.5,20.0,,281.7913,-8.3482,Sct
V475 Sct,,,,N:,8.9,,N Sct 2003,282.4067,-9.5640,Sct
V443 Sct,,,,N,8.5,20.0,,282.4123,-6.1878,Sct
CI Aql,,,,N/NR,8.8,15.6,23.1925,283.0150,-1.4776,Aql
HR Lyr,175268,,358601798,NA,6.5,15.8,HD 175268,283.3544,+29.2272,Lyr
V373 Sct,,,,NA/DQ,7.1,18.8,,283.8613,-7.7182,Sct
EL Aql,,,57427978,NA,6.4,20.0,60.1927,284.0085,-3.3224,Aql
EU Sct,,,57437557,NA,8.4,18.0,,284.0549,-4.2093,Sct
V446 Her,,,,NA,3.0,17.8,,284.3400,+13.2412,Her
FS Sct,,,329565624,NA:,10.1,19.3,,284.5705,-5.4014,Sct
V4743 Sgr,,,,NA,5.0,16.8,N Sgr 2002 No. 3,285.2888,-22.0017,Sgr
V1059 Sgr,176654,,414239780,NA,4.9,18.1,HD 176654,285.4601,-13.1618,Sgr
Aql,,,,UG:,10.6,17.0,NSV 24663,285.4979,+13.8750,Aql
V604 Aql,176779,,,NA,8.2,21.0,HD 176779,285.5266,-4.4455,Aql
Aql,,,,N,10.6,,,285.5618,+13.0509,Aql
Aql,,,,UG:,10.5,13.0,NSV 24667,285.7362,+15.1614,Aql
QV Vul,,,,NA,7.0,17.7,,286.1679,+21.7706,Vul
V1440 Aql,177444,5140-148-1,40330356,NL:+ELL,8.6,,HIP 93724,286.2505,-7.1419,Aql
V1663 Aql,,,,N:,10.5,,ASAS 190512+0514.2,286.3021,+5.2367,Aql
V1425 Aql,,,,NA/DQ,7.5,19.0,,286.3612,-1.7039,Aql
Aql,,,,UG:,10.8,13.0,NSV 24685,286.4029,+14.1967,Aql
V1548 Aql,,,,N,10.8,18.0,TAV J1907+117,286.8684,+11.7461,Aql
V1493 Aql,,,,NA,10.4,21.0,,286.9038,+12.5241,Aql
V841 Aql,,,,N,11.5,17.5,,286.9158,+10.4955,Aql
V363 Sgr,,,,NA,8.8,20.0,,287.8179,-29.8333,Sgr
