name,hd,tyc,tic,magmax,period,sptype,ra_deg,dec_deg,constellation
V2289 Oph,,,418158586,8.14,,,265.7500,-16.1156,Oph
V2294 Oph,,,171167407,3.99,,,259.9727,-8.7832,Oph
V2296 Oph,,,347970916,3.0,,,262.0347,+5.0384,Oph
V2297 Oph,,,302837326,6.7,,,263.3080,+8.3442,Oph
V2302 Oph,,,24906279,4.07,,,272.3273,+9.2043,Oph
V2308 Oph,,,20268129,8.11,,,255.8614,-28.5753,Oph
V2309 Oph,,6837-13-1,85948230,9.2,,,261.0033,-29.3251,Oph
V2311 Oph,,,189493056,9.0,,,262.5164,-26.4675,Oph
V2347 Oph,,,319704034,5.8,,,276.9623,+7.8724,Oph
V2496 Oph,,,202975267,8.8,,,265.9365,-29.2623,Oph
V2497 Oph,,,202975310,8.5,,,265.9446,-29.2603,Oph
V2548 Oph,,,22924417,4.57,,,256.9921,-24.7420,Oph
V2585 Oph,,,198113538,9.8,300.0,,254.5472,-23.5188,Oph
V2599 Oph,,,24038461,5.94,545.0,,257.4009,-26.6716,Oph
V2714 Oph,,,23145769,4.61,531.0,C,256.9822,-28.8682,Oph
V2727 Oph,,,102268162,3.74,603.0,C,261.3257,-23.5129,Oph
R Ori,31798,685-938-1,450022383,9.05,377.1,"C8,2e(Ne)",74.7523,+8.1305,Ori
S Ori,36090,4761-1622-1,50621545,7.2,414.3,M6.5e-M9.5e,82.2537,-4.6924,Ori
U Ori,39816,1320-526-1,119041739,4.8,368.3,M6e-M9.5e,88.9549,+20.1752,Ori
V Ori,,106-1266-1,455030244,8.9,263.7,M3e-M8.0e,76.5143,+4.1024,Ori
RR Ori,250795,1313-1722-1,97962154,9.1,251.78,M6.5e-M8,90.7610,+16.3778,Ori
BK Ori,,701-864-1,200520939,9.2,354.2,M7e,82.9825,+7.6136,Ori
V0345 Ori,,,,9.5,331.5,M3,94.0068,-1.0559,Ori
V1259 Ori,,,156636300,6.04,,,90.9985,+7.4307,Ori
V1404 Ori,,,127302361,6.52,,,85.1540,+13.8061,Ori
V2786 Ori,,,45805360,3.82,493.0,Ce,92.9492,+19.1389,Ori
R Pav,165961,9059-3396-1,365368118,7.5,229.46,M3e-M5(II)e,273.2207,-63.6159,Pav
T Pav,186484,9314-1888-1,396093961,7.0,243.62,M4e,297.6812,-71.7715,Pav
U Pav,198735,9105-463-1,341182193,8.6,289.7,M4e,313.8795,-62.7042,Pav
W Pav,161567,9058-3818-1,307234152,8.1,283.35,M4e-M7e,267.6122,-62.4092,Pav
RZ Pav,,8754-2302-1,75463292,9.6,288.5,Me,267.2230,-58.7454,Pav
SU Pav,,9087-510-1,466266828,8.6,245.3,M4(II)e-M6II-IIIe,304.4125,-60.0719,Pav
BR Pav,,8784-541-1,367024309,9.8,246.13,,302.3201,-57.3318,Pav
V0350 Pav,,,,3.81,,,304.7499,-71.7244,Pav
V0351 Pav,,,,4.02,,,313.3902,-71.8574,Pav
R Peg,218292,1163-1500-1,344220905,6.9,378.1,M6e-M9e,346.6632,+10.5434,Peg
S Peg,220033,1162-250-1,354209282,6.9,319.22,M5e-M8.5e,350.1359,+8.9189,Peg
T Peg,210251,,456780957,8.4,379.4,M6e-M8e,332.2263,+12.5401,Peg
V Peg,209127,,257043051,7.0,302.35,M3e-M7e,330.2607,+6.1197,Peg
W Peg,219946,2245-115-1,91104738,7.6,345.5,M6e-M8e,349.9604,+26.2788,Peg
X Peg,,1118-1180-1,60495335,8.8,201.2,M2e-M5e,320.2494,+14.4501,Peg
Y Peg,210662,,456825666,8.9,206.93,M3e-M5e,332.9062,+14.3657,Peg
Z Peg,224709,1732-2730-1,,7.3,334.8,M6e-M8.5e(Tc),0.0273,+25.8865,Peg
RR Peg,206890,,452704283,8.5,264.05,M4e-M8e,326.1275,+25.0073,Peg
RS Peg,210749,1148-786-1,404362594,8.2,415.4,M6e-M9e,333.0674,+14.5534,Peg
RT Peg,209641,,162173841,9.4,215.0,M3e-M6e,331.0422,+35.1218,Peg
RV Peg,212678,,164278695,9.0,396.8,M6e,336.4034,+30.4726,Peg
RW Peg,217949,1711-2067-2,217777445,8.8,208.43,K3e-M6.5e,346.0479,+15.3033,Peg
RZ Peg,209890,2724-1872-1,162290171,7.6,438.7,"C9,1e(Ne)(Tc)/CSe",331.4707,+33.5069,Peg
SS Peg,213837,2223-606-1,150694605,8.0,424.8,M6e-M7e,338.4930,+24.5650,Peg
SU Peg,,,326446632,8.1,198.4,M3e,354.2485,+32.7003,Peg
SW Peg,,,283035034,8.0,396.33,M4e,320.6207,+21.9984,Peg
SX Peg,,1702-595-1,88726445,9.7,303.6,"S3,9e-S4.5,9e",342.6035,+17.8935,Peg
TU Peg,,1129-1677-1,301931358,8.2,321.6,M7e-M8e,326.2692,+12.6986,Peg
TV Peg,,,268216021,9.0,247.1,M0e,321.6936,+16.5816,Peg
AN Peg,,,126018606,9.6,280.07,M5,317.8377,+13.3532,Peg
DL Peg,,,302035000,9.7,180.4,M0,357.1126,+15.6418,Peg
FF Peg,,,397185561,9.7,252.4,M5,354.0430,+9.8161,Peg
IU Peg,,,468261377,9.9,,,331.8177,+11.8877,Peg
IW Peg,,,344105936,2.4,,,345.5320,+10.5907,Peg
IZ Peg,,,354355065,1.7,,,352.0713,+10.9104,Peg
KZ Peg,,,257312855,3.61,,,343.5475,+8.9022,Peg
LL Peg,,,435189436,9.64,,,349.8000,+17.1917,Peg
LV Peg,,,257074831,6.18,,,330.3563,+8.6070,Peg
MP Peg,,,427679314,6.15,,,340.6966,+11.0148,Peg
MR Peg,,,435847597,5.71,,,343.5504,+22.6596,Peg
MV Peg,,,245368046,6.08,,,346.9013,+23.7824,Peg
R Per,21567,2354-1581-1,349381896,8.1,209.89,M2e-M5e,52.5130,+35.6713,Per
U Per,12025,3688-1392-1,445491843,7.4,320.26,M5e-M7e,29.8963,+54.8222,Per
Y Per,21280,2873-1287-1,456163027,8.1,248.6,"C4,3e(R4e)",51.9266,+44.1768,Per
RR Per,15186,,410622915,8.1,389.62,M6e-M7e,37.1226,+51.2714,Per
RX Per,279135,,26647675,9.0,422.08,M3e,57.8177,+33.0352,Per
RZ Per,,3277-1001-1,308215509,8.7,355.25,"S4,9e",22.4257,+50.8567,Per
V0409 Per,,,,9.6,355.0,N,47.4410,+45.9654,Per
V0596 Per,,,,9.03,,,38.2514,+58.0351,Per
V0671 Per,,,,9.9,,,42.6888,+55.8169,Per
V0672 Per,,,,9.6,,,44.0752,+45.8870,Per
R Phe,224269,8460-377-1,201231444,7.5,269.26,M2(II)e-M4(III)e,359.1148,-49.7868,Phe
T Phe,2725,8024-1000-1,80262314,8.7,281.79,M5e,7.6092,-46.4093,Phe
V Phe,221433,,382463667,8.5,257.0,M4e,353.1135,-45.9886,Phe
W Phe,8166,8477-1046-1,206563830,8.1,333.95,M5e-M6e,19.9691,-55.9178,Phe
RR Phe,,,,9.4,426.55,,359.6838,-39.4500,Phe
S Pic,33894,8081-1540-1,219395372,6.5,428.0,M6.5e-M8III-IIe,77.7385,-48.5071,Pic
T Pic,34448,8089-1058-1,220026168,7.9,200.58,M6IIIe,78.7745,-46.9180,Pic
UX Pic,,,220603325,3.9,,,83.9977,-44.0776,Pic
R Psc,9203,31-66-1,344283003,7.0,344.5,M3e-M6e,22.6600,+2.8816,Psc
S Psc,7773,613-881-1,376939024,8.2,404.62,M5e-M7e,19.3939,+8.9313,Psc
X Psc,7160,,243242458,9.8,349.6,M5e-M6e,18.0322,+22.2235,Psc
RX Psc,,1204-1347-1,411636272,8.8,280.54,M1e,21.4133,+21.3961,Psc
