cgcs,hd,tyc,tic,vmag,bmag,sptype,ra_deg,dec_deg,constellation
1790,60952,6539-343-1,348912086,9.1,11.5,"R(Ste);C4+,3(De)",113.9829,-23.6044,Pup
1787,60826,182-666-1,280005575,9.0,,N(San),114.1321,+2.0703,CMi
1822,,6547-979-1,125555841,9.0,15.0,N(Sndlk),114.8900,-27.7019,Pup
1834,,,125896156,9.5,,,115.2808,-26.4100,Pup
1846,,6548-581-1,126108735,8.8,12.9,"C8,2(De)",115.5942,-27.0167,Pup
1853,,7657-509-1,123701322,8.2,13.2,,115.6733,-44.2014,Pup
1848,,5988-2717-1,140277270,9.7,13.4,,115.7321,-20.5439,Pup
1855,,5993-842-1,140532315,9.9,13.0,R(Ste),116.0600,-22.3569,Pup
1862,,,126692835,9.5,,,116.2779,-29.4556,Pup
1870,,7649-531-1,175461231,9.0,13.1,N(Sndlk),116.3821,-39.7644,Pup
1877,,,334453028,9.3,12.6,N(San),116.9058,-11.9539,Pup
1883,,,,9.5,,,116.9079,-32.5033,Pup
1881,63353,188-560-1,271368075,8.7,11.5,"R6(San);C7,2(De)",117.1896,+5.3931,CMi
1904,,8138-1277-1,268596185,9.6,13.0,R(Sto),117.1937,-48.7286,Pup
1891,,4832-1872-3,122720407,9.0,,R8(San),117.5171,-0.8819,Mon
1912,,,143327106,9.9,,N:(Sndlk),117.5729,-47.8772,Pup
1910,,7646-1133-1,131177774,9.0,13.7,N(Sndlk),117.6433,-38.7958,Pup
1920,,8134-2695-1,143446291,9.0,12.0,N(Sndlk),117.8796,-46.2644,Pup
1949,,6565-3198-1,129271899,9.2,,"C5-,3:(De)",118.8050,-29.6514,Pup
1968,65424,8143-1629-1,269402047,7.6,11.5,Nb(HD),119.0867,-49.9819,Pup
1995,,,152408149,9.8,12.6,N(Ste),120.0021,-33.8864,Pup
1987,,,169770385,9.6,,N(Ste),120.1312,-7.3756,Mon
2007,,4850-1517-1,73190906,9.0,10.8,N(San),120.6900,-2.1256,Mon
2033,,7120-932-1,419241928,9.5,,,120.8425,-31.5033,Pup
2024,,6554-155-1,432031492,9.0,13.6,N(Ste),120.9242,-23.8350,Pup
2051,67190,7659-3115-1,133761014,7.0,10.0,R(Sndlk); N(San),121.3333,-38.7767,Pup
2063,,,154235637,9.7,14.1,,121.7713,-29.7956,Pup
2064,67507,6555-486-1,176301775,8.5,10.3,N(San),121.8742,-22.9125,Pup
