hbc,name,hd,tyc,tic,vmag,sptype,ytype,ra_deg,dec_deg,constellation
1,MacC H12,,,359125339,16.23,"A5,F:e",,1.7611,+65.6440,Cas
324,MC 1,,,359125301,14.6,A5e,,1.8779,+65.6646,Cas
2,LkH@ 197,,,,15.3,"K7,M0",tt,2.6479,+58.8351,Cas
3,V633 Cas,,,452883179,14.29,"B,Ae   *",ae,2.8586,+58.8295,Cas
325,V376 Cas,,,452883156,15.6,B5e,ae,2.8590,+58.8343,Cas
326,MacC sH15,,,83518064,13.85,K1,tt,3.1266,+65.5515,Cas
4,MacC H10,,,83518024,14.72,K4,tt,3.2287,+65.5694,Cas
5,MacC H9,,,83732817,14.96,K4,tt,3.3717,+65.6001,Cas
327,MC 3,,,83974009,16.8,K5,tt,4.1978,+65.7610,Cas
328,MC 4,,,83973979,14.4,K4,tt,4.2282,+65.7816,Cas
329,VX Cas,,4019-1525-1,428476066,11.03,"A0,3e V",*,7.8773,+61.9807,Cas
6,LkH@ 200,,,,13.7,K1,tt,10.6225,+61.9297,Cas
330,V594 Cas,,4020-1322-1,420018149,10.61,B:eq  *,ae,10.8262,+61.9112,Cas
7,LkH@ 201,,,,13.7,B3e,*,10.8559,+61.6398,Cas
331,LkH@ 203,,,,15.0,K5,tt,11.1142,+62.1796,Cas
332,LkH@ 204,,,,15.8,"K7,M0",tt,11.2915,+62.0741,Cas
333,LkH@ 205,,,,14.3,cont,,11.3597,+61.6482,Cas
334,RNO 6,,,,14.52,B1e@,a?,34.1259,+55.3824,Per
8,LkH@ 262,,,,14.56,M0,tt,44.0331,+20.0567,Ari
9,LkH@ 263,,,,14.64,M2,tt,44.0348,+20.0606,Ari
10,LkH@ 264,,,,12.46,K5 V(Li),tt,44.1562,+20.0936,Ari
335,St 18,,,,13.5,early M,,45.5863,+17.1763,Ari
336,>,,,,14.0,*,,49.3597,+60.1623,Cam
337,RNO 13,,,138114753,19.5,K7,tt,51.2888,+30.7727,Ari
338,LZK 4,,2341-434-1,138115594,12.1,G8   *,tt,51.4574,+31.1735,Per
339,RNO 15,,,349294307,19.6,?,tt,51.9483,+30.2016,Ari
340,>,,,,17.7,K7,,52.1802,+31.2925,Per
341,>,,,,18.6,M4.5,tt,52.1814,+31.2935,Per
342,>,,,,18.7,K7,,52.2135,+31.0337,Ari
343,>,,,,14.8,M0.5,,52.2139,+30.5169,Ari
11,LkH@ 325,,,,13.43,"K7,M0",tt,52.2172,+30.7513,Ari
344,SSV 11,,,,,M1,,52.2358,+31.3098,Per
345,HH 12/107,,,,17.8,M0:,,52.2420,+31.3014,Per
346,SSV 13,,,,23.8,K?  *,,52.2654,+31.2677,Per
12,LkH@ 270,,,,14.25,"K7,M0",tt,52.3232,+31.3794,Per
13,LkH@ 271,,,,14.7,K3,tt,52.3410,+31.2603,Per
347,>,,,,12.05,K1 (Li),wt,52.4090,+24.5112,Tau
14,LkH@ 326,,,,16.0,M0,tt,52.6831,+30.5463,Tau
15,LkH@ 327,,,,15.0,K2,tt,53.3776,+31.1817,Per
16,LkH@ 328,,,,16.8,M1,tt,53.5073,+31.2434,Per
348,IP Per,278937,2359-1011-1,101166418,10.35,A3e@,?,55.1957,+32.5316,Per
17,LH@ 92,,,,,K:,,56.1084,+32.0755,Per
18,LH@ 97,,,,,,,56.1862,+32.0677,Per
19,LkH@ 329,,,,14.9,K3,tt,56.4037,+32.4329,Per
20,LkH@ 330,,,,10.97,G3:  *,tt,56.4510,+32.4036,Per
21,LkH@ 272,,,,14.05,K6,tt,57.2710,+38.9383,Per
22,LkH@ 273,,,,15.27,"K7,M0",tt,57.3154,+38.9440,Per
349,XY Per e,,,,9.36,A5:e@,ae,57.4007,+38.9819,Per
350,XY Per w,,,,,Aep+shell,ae,57.4007,+38.9819,Per
351,>,,,,12.26,K5 (Li),wt,58.0095,+24.6643,Tau
352,>,,,,11.85,G0 (Li?),,58.6225,+32.0504,Per
353,>,,,,12.31,G5 (Li),wt,58.6250,+32.0516,Per
354,>,,,,13.79,K3 (Li?),,58.6484,+25.6200,Tau
355,>,,,,12.67,K0 (Li),wt,58.6496,+25.6192,Tau
356,>,,,,12.91,,,60.8085,+25.8832,Tau
357,>,,,,12.91,K2 (Li)*,wt,60.8085,+25.8832,Tau
358,>,,,,14.52,M2 (Li),wt,60.9549,+26.1818,Tau
359,>,,,,14.17,M2 (Li),wt,60.9620,+26.1820,Tau
360,>,,,,14.97,M3 (Li),wt,61.1637,+21.9722,Tau
361,>,,,,15.09,M3 (Li),wt,61.1658,+21.9728,Tau
362,>,,,,14.67,M2 (Li),wt,61.3787,+21.8530,Tau
363,PP 13 s,,,,,Mp,,62.6708,+38.1315,Per
364,PP 13 n,,,,17.9,"M2.5 III,IV",tt,62.6738,+38.1359,Per
365,LkCa 1,,,,13.72,M4 V(lLi),wt,63.3091,+28.3198,Tau
366,Anon 1,,,,13.52,M0 V(Li),wt,63.3633,+28.2658,Tau
367,V773 Tau,283447,1827-1236-1,56624881,10.62,K3 V(Li),wt,63.5538,+28.2037,Tau
23,FM Tau,,,56624887,14.22,M0,tt,63.5561,+28.2142,Tau
24,FN Tau,,,56625009,14.95,M5,tt,63.5608,+28.4664,Tau
25,CW Tau,,,56624875,12.36,K3 V(Li),tt,63.5706,+28.1831,Tau
368,LkCa 3,,,,12.08,M1 V(Li),,63.7000,+27.8764,Tau
26,FP Tau,,,56628414,13.9,M4 V(Li),tt,63.6970,+26.7743,Tau
369,FO Tau,,,56627416,15.0,M2,tt,63.7053,+28.2088,Tau
27,CX Tau,,,56628394,13.72,M2.5,tt,63.6993,+26.8034,Tau
370,LkCa 4,,,,12.54,K7: V(Li),wt,64.1171,+28.1268,Tau
28,CY Tau,,,58177093,13.33,M1 V(Li),tt,64.3905,+28.3466,Tau
371,LkCa 5,,,,13.56,M2 V(Li),wt,64.4123,+28.5504,Tau
29,V410 Tau,283518,1827-8-1,58231482,10.82,K3 V(Li),wt,64.6296,+28.4548,Tau
30,DD Tau,,,58231519,14.11,M1,tt,64.6297,+28.2750,Tau
31,CZ Tau,,,58231518,15.33,M1.5,tt,64.6316,+28.2832,Tau
372,>,,,,13.26,K5 (Li),,64.5893,+16.9794,Tau
373,V892 Tau,,,58231504,15.3,A6e,ae,64.6692,+28.3213,Tau
374,Hubble 4,,,,12.73,K7 (Li),wt,64.6959,+28.3357,Tau
375,CoKu Tau/1,,,,19.3,?,,64.7147,+28.3411,Tau
376,>,,,,12.28,K7 (Li),wt,64.7151,+17.3874,Tau
377,FQ Tau,,,58285830,15.6,M2,tt,64.8033,+28.4928,Tau
32,BP Tau,281934,1827-554-1,58287935,12.09,K7 V(Li),tt,64.8159,+29.1078,Tau
378,V819 Tau,,,58288494,13.24,K7 V(Li),wt,64.8593,+28.4374,Tau
379,LkCa 7,,,,12.37,"K7,M0V(Li)",wt,64.9220,+27.8275,Tau
33,DE Tau,,,58467184,13.0,M2: V(Li),tt,65.4817,+27.9187,Tau
34,RY Tau,283571,1828-129-1,58467657,10.01,"K1IV,V(Li)",tt,65.4889,+28.4436,Tau
380,HD 283572,283572,1828-481-1,58467533,9.04,G5 IV(Li),su,65.4951,+28.3023,Tau
381,Haro 6-5B,,,,,?,tt,65.5037,+26.9604,Tau
382,LkCa 21,,,,,"M3,4 (Li)",tt,65.5130,+28.4276,Tau
383,FS Tau,,,58437437,15.71,M1,tt,65.5088,+26.9589,Tau
35,T Tau,284419,1272-470-1,17308640,9.9,"K0IV,V(Li)",tt,65.4975,+19.5352,Tau
384,FT Tau,,,58544652,,cont,tt,65.9132,+24.9375,Tau
385,IP Tau,,,58606534,12.99,M0: V,,66.2377,+27.1995,Tau
386,FV Tau,,,268017139,15.4,K5,tt,66.7230,+26.1153,Tau
387,FV Tau/c,,,268017138,17.2,"M3.5,4",tt,66.7267,+26.1144,Tau
36,DF Tau,283654,1820-1418-1,268016868,11.49,"M0,1 V(Li)",tt,66.7615,+25.7064,Tau
37,DG Tau,,,268017134,12.01,M ?  *,tt,66.7695,+26.1047,Tau
388,>,,,,10.34,K1 (Li),wt,66.7941,+17.8455,Tau
389,GV Tau,,,268217520,17.2,"K3,5",,67.3485,+24.5506,Tau
38,DH Tau,,,268148971,13.92,M1 V(Li),tt,67.4229,+26.5499,Tau
39,DI Tau,,,268148974,12.86,M0 V(Li),wt,67.4267,+26.5475,Tau
390,>,,,,,M0 (Li),wt,67.5047,+35.2902,Per
41,IQ Tau,,,268219495,13.3,M0.5,tt,67.4646,+26.1129,Tau
40,LkH@ 101,,,,15.9,F?e   *,?,67.5602,+35.2736,Per
391,>,,,,,K7 (Li),wt,67.5797,+35.2960,Per
42,UX Tau B,,,,13.67,M1 V (Li),wt,67.5147,+18.2306,Tau
43,UX Tau A,,,,10.69,K2 V(Li),wt,67.5163,+18.2306,Tau
44,FX Tau,,,268280984,13.9,M1,tt,67.6233,+24.4461,Tau
45,DK Tau,,,268279773,11.7,K7 V(Li),tt,67.6843,+26.0238,Tau
46,ZZ Tau,,,268280825,14.34,M3:,tt,67.7140,+24.7064,Tau
47,V927 Tau,,,268281426,14.63,M5.5,tt,67.8490,+24.1816,Tau
392,>,,,,12.53,K5 (Li?),wt,67.8632,+17.1071,Tau
393,>,,,,,K2 III:,?,67.8922,+18.1345,Tau
394,LkH@ 358,,,,19.0,M5.5,,67.9009,+18.2289,Tau
49,HL Tau,,,353752575,14.57,"K7,M2?  *",tt,67.9102,+18.2330,Tau
50,XZ Tau,,,353752576,13.3,M3,tt,67.9167,+18.2327,Tau
48,HK Tau,,,268324063,15.75,M0.5,tt,67.9606,+24.4051,Tau
395,V710 Tau B,,,,14.6,M3,wt,67.9906,+18.3603,Tau
51,V710 Tau A,,,,13.65,M1,tt,67.9906,+18.3603,Tau
396,Haro 6-13,,,268324608,17.7,cont,tt,68.0642,+24.4843,Tau
397,L1551-51,,,,12.06,K7 (Li),wt,68.0387,+17.9565,Tau
398,V928 Tau,,,268324580,13.7,M0.5,wt,68.0785,+24.3744,Tau
399,V827 Tau,,,397287246,12.18,"K7,M0 (Li)",wt,68.0607,+18.3375,Tau
400,V826 Tau,,,397287362,12.11,"K7,M0 (Li)",wt,68.0660,+18.0274,Tau
401,FY Tau,,,268397434,15.4,"K7,M0",tt,68.1273,+24.3328,Tau
402,FZ Tau,,,268397430,15.0,cont,tt,68.1322,+24.3344,Tau
54,GG Tau,,1270-897-1,245830955,12.24,K7 V(Li),tt,68.1261,+17.5282,Tau
52,UZ Tau e,,,,12.86,"M1,3: V(Li)",tt,68.1789,+25.8756,Tau
53,UZ Tau w,,,,14.6,M3 V (Li),tt,68.1789,+25.8756,Tau
403,L1551-55,,,,13.22,K7 (Li),wt,68.1827,+18.0495,Tau
55,GH Tau,,,268397776,12.95,"M2,3 V(Li)",tt,68.2760,+24.1598,Tau
404,V807 Tau,,1829-214-1,268397781,,K7 V(Li),tt,68.2777,+24.1656,Tau
405,V830 Tau,,,268397995,12.21,"K7,M0V(Li)",wt,68.2926,+24.5621,Tau
56,GI Tau,,,268444803,13.01,K6 V(Li),tt,68.3919,+24.3551,Tau
59,IS Tau,,,268443606,14.29,K2,tt,68.4032,+26.1638,Tau
57,GK Tau,,,268444804,12.14,K7 V(Li),tt,68.3936,+24.3521,Tau
58,DL Tau,,,268444139,13.05,K7 V(Li),tt,68.4127,+25.3441,Tau
406,HN Tau/c,,,673686011,18.1,late M?,tt,68.4138,+17.8647,Tau
60,HN Tau,,,245836650,13.7,K5,tt,68.4138,+17.8647,Tau
61,CI Tau,,,61230756,13.09,K7 V(Li),tt,68.4666,+22.8418,Tau
62,DM Tau,,,61259576,13.99,M1: V(Li),tt,68.4529,+18.1696,Tau
407,>,,,,12.67,G8 (Li),wt,68.5756,+18.5019,Tau
408,Wa Tau/1,,,,10.37,K0 IV,?,68.6640,+25.0171,Tau
63,AA Tau,,,268510757,12.37,K7 V(Li),tt,68.7308,+24.4816,Tau
64,HO Tau,,,118519976,14.84,M0.5,tt,68.8343,+22.5374,Tau
409,FF Tau,,,118520201,13.67,"K7,M0 V(Li)",wt,68.8369,+22.9069,Tau
65,DN Tau,,,268511247,12.36,M0 V(Li),tt,68.8640,+24.2499,Tau
410,L1642-2,,,,13.5,K7 IV,tt,68.7068,-14.2190,Eri
411,CoKu Tau/3,,,,17.3,M1,,68.9216,+24.1857,Tau
412,>,,,,14.12,M2 (Li),wt,68.8505,+17.8615,Tau
413,L1642-1,,,,,M,,68.7592,-14.2281,Eri
66,HP Tau,,,118521708,13.16,K3,tt,68.9700,+22.9065,Tau
414,>,,,,14.8,K7,wt,68.9728,+22.9027,Tau
415,>,,,,11.1,G0:n III *,su,68.9755,+22.9038,Tau
416,Haro 6-28,,,118521704,17.3,M5,tt,68.9866,+22.9102,Tau
417,LkCa 14,,,,13.0,M0: V(Li),wt,69.0794,+25.7164,Tau
67,DO Tau,,,150002984,14.01,M0: V(Li),tt,69.6190,+26.1807,Tau
418,HV Tau,,,150002985,14.0,M1 V(Li),wt,69.6470,+26.1778,Tau
68,VY Tau,,,118680673,13.71,M0 V(Li) *,tt,69.8224,+22.7984,Tau
419,LkCa 15,,,,12.09,K5: V(Li),wt,69.8242,+22.3513,Tau
420,IW Tau,,,150097417,12.52,K7 V(Li),wt,70.2695,+24.8518,Tau
421,CoKu Tau/4,,,,14.9,M1.5,,70.3200,+28.6668,Tau
422,>,,,,14.7,K7,wt,70.5228,+25.3826,Tau
423,>,,,,15.1,M1,,70.5287,+25.3844,Tau
69,V955 Tau,,,150173455,14.74,"K7,M0",tt,70.5322,+25.3870,Tau
70,DP Tau,,,125914505,14.22,M0.5,tt,70.6569,+25.2606,Tau
71,GO Tau,,,125914458,14.89,M0,tt,70.7627,+25.3387,Tau
72,DQ Tau,,,436614017,13.16,"M0,1 V(Li)",tt,71.7210,+17.0001,Tau
424,Haro 6-37/c,,,,14.6,"K7,M0",tt,71.7458,+17.0442,Tau
73,Haro 6-37,,,436614035,13.55,K6,tt,71.7458,+17.0442,Tau
74,DR Tau,,1271-1233-1,436614005,11.17,*,tt,71.7759,+16.9787,Tau
75,DS Tau,,,59879081,11.9,K5 V(Li) *,tt,71.9520,+29.4203,Tau
76,UY Aur,,2387-982-1,96205005,12.37,K7 V(Li),tt,72.9473,+30.7873,Aur
425,St 34,,,,13.5,M,,73.5990,+17.1656,Tau
77,GM Aur,,,96533063,12.03,K3 V(Li),tt,73.7956,+30.3669,Aur
426,LkCa 19,,,,10.85,K0 V(Li)*,wt,73.9042,+30.2987,Aur
78,AB Aur,31293,2387-812-1,96680681,7.07,"B9,A0e+shl",ae,73.9406,+30.5516,Aur
79,SU Aur,282624,2387-977-1,96682564,8.93,G2 III(Li),su,73.9974,+30.5673,Aur
427,>,,,,11.6,K7 (Li),wt,74.0092,+30.3508,Aur
428,V347 Aur,,,453022154,15.6,M2 V,?,74.2362,+51.5157,Aur
429,V836 Tau,,,349072683,13.13,"K7,M0 V(Li)",wt,75.7775,+25.3888,Tau
430,UX Ori,293782,4758-134-1,213103713,9.72,A3e III,?,76.1251,-3.7872,Ori
82,LkH@ 333,,,,14.18,K5,tt,76.7276,-3.3346,Ori
81,RW Aur B,,,,12.7,K3:,,76.9559,+30.4018,Aur
80,RW Aur A,,,,10.12,K1:,tt,76.9563,+30.4019,Aur
431,V1012 Ori,,,248448633,,B:e,a?,77.9020,-2.3801,Ori
83,V534 Ori,,,4069458,13.31,,tt,80.0817,-5.7650,Ori
84,CO Ori,,708-1278-1,365776906,9.83,F8:e V(Li),su,81.9095,+11.4276,Ori
85,GW Ori,244138,708-1901-1,302537716,9.8,G5 (Li),tt,82.2850,+11.8704,Ori
86,V649 Ori,,,284996091,12.01,"G8III,V(Li)",tt,82.3497,+11.8660,Ori
432,P102,,,,10.6,late F,,82.2977,-6.1349,Ori
87,V442 Ori,,,302538729,14.3,"K7,M0",tt,82.3925,+12.9393,Ori
88,V370 Ori,,,302671918,13.41,K7,,82.5080,+12.2194,Ori
89,GX Ori,,,302671915,13.68,K1,,82.5086,+12.2260,Ori
433,V447 Ori/c,,,302672869,17.2,M3,tt,82.6509,+12.6147,Ori
90,V447 Ori,,,302672868,14.47,K7,tt,82.6509,+12.6147,Ori
91,V448 Ori,,,302672412,14.28,K5,tt,82.7155,+12.1437,Ori
92,V449 Ori,,,200516548,13.95,"K,M?",?,82.8172,+11.4254,Ori
93,HI Ori,,,302761986,14.32,K4,tt,82.8484,+12.1623,Ori
434,Rst 137B,36705B,,149248193,13.0,"M3,4",,82.1853,-65.4506,Dor
435,AB Dor,36705,8887-1611-1,149248196,6.83,"K0,2 (Li)",*,82.1853,-65.4506,Dor
123,KN Ori,,,427374231,13.37,K6,,83.7366,-5.1926,Ori
94,HK Ori,,709-857-1,302761973,11.63,Aep,ae,82.8669,+12.1530,Ori
95,V452 Ori,,,302762301,14.0,K7,tt,82.9309,+12.5062,Ori
96,V453 Ori,,,302762311,15.3,K2,tt,82.9548,+12.5334,Ori
97,San 1,,,,11.52,"M1.5,2",,83.0191,-3.0918,Ori
436,RY Ori,,4770-288-1,50745417,,F8:pe (Li),?,83.0417,-2.8302,Ori
98,HS Ori,,,50792473,16.3,cont,tt,83.2575,-4.8220,Ori
100,V466 Ori,,,50792875,12.28,K1,tt,83.2593,-5.4404,Ori
101,V384 Ori,,,50793250,15.6,M1.5,tt,83.2937,-5.7068,Ori
437,P1207/c,,,,16.1,M2.5,,83.3844,-5.5592,Ori
102,P1207,,,,13.77,K5,,83.3844,-5.5592,Ori
103,VX Ori,,,50793795,14.8,M0,tt,83.3924,-4.7294,Ori
104,VY Ori,,,50793630,15.22,M2.5,tt,83.3996,-5.0258,Ori
438,P1229,,,,11.56,"G,K (Li)",,83.4052,-5.4481,Ori
105,San 2,,,,13.43,K5,tt,83.4305,-1.1430,Ori
107,V386 Ori,,,427334064,15.1,K7,,83.4371,-5.5190,Ori
106,VZ Ori,,,427334068,14.09,K4(cont),tt,83.4387,-5.5139,Ori
108,V1006 Ori,,,427459739,12.77,M0,tt,83.4393,-6.0737,Ori
109,P1270,,,,12.11,K1,tt,83.4437,-5.9536,Ori
110,SU Ori,,,427334429,15.32,M1,tt,83.4827,-4.7973,Ori
439,P1319,,,,12.58,K0nnIII(Li),,83.4996,-5.0011,Ori
440,P1347,,,,14.42,K0 V,,83.5134,-5.9151,Ori
441,WX Ori/c,,,427334210,16.3,M2,,83.5305,-5.2294,Ori
111,WX Ori,,,427334205,14.16,K3,tt,83.5305,-5.2294,Ori
442,P1394,,,,10.13,"F6ne IV,V",,83.5591,-5.6151,Ori
443,HD 245059,245059,705-940-1,436013391,9.82,K3 V:(Li),,83.6451,+10.1188,Ori
113,V1044 Ori,,4774-880-1,427352996,11.5,"G5 IV,V(Li)",tt,83.5687,-5.6128,Ori
115,SW Ori,,,388850604,12.91,K4,,83.5655,-6.6012,Ori
114,EZ Ori,,,427352662,11.6,G0:n (Li),su,83.5774,-5.0801,Ori
444,P1410,,,,14.74,"M0 IV,V",,83.5786,-5.1173,Ori
445,P1440,,,,14.72,"K0,2 IV,V",,83.6004,-4.7867,Ori
446,P1487,,,,13.73,K5 V,,83.6180,-6.1736,Ori
117,XX Ori,,,388850913,14.87,M2.5,tt,83.6506,-6.0930,Ori
447,P1540,,,,11.34,K3 III:,,83.6657,-5.4071,Ori
448,P1541,,,,12.58,K3 III-IV,,83.6660,-5.4450,Ori
449,IY Ori,,,427373591,12.3,K2 IV (Li),,83.6677,-5.8378,Ori
118,IX Ori,,,427374014,13.72,,tt,83.6702,-5.3785,Ori
450,P1608,,,,13.0,K4 V,,83.6914,-5.9811,Ori
119,YY Ori,,,427373515,13.59,"K5,M0n V",tt,83.6981,-5.9659,Ori
451,HD 245185,245185,705-858-1,436098606,9.93,A5e@,ae,83.7897,+10.0310,Ori
120,YZ Ori,,,427374322,14.35,K5,tt,83.7211,-5.0575,Ori
122,KM Ori,,,427374004,11.55,K1 (Li),,83.7331,-5.3870,Ori
124,KP Ori,,,427373688,14.71,M0,tt,83.7326,-5.6907,Ori
125,KR Ori,,,427374008,12.81,K6 (Li),tt,83.7503,-5.3839,Ori
452,P1724,,,,10.55,G8n (Li),,83.7677,-5.1370,Ori
126,LL Ori,,,427395117,11.66,"K2,3 (Li)",tt,83.7733,-5.4221,Ori
128,LN Ori,,,427395458,,,,83.7832,-5.5456,Ori
127,SY Ori,,,427393030,13.22,K3,tt,83.7921,-4.4612,Ori
129,V356 Ori,,,427395389,13.1,K3,,83.7875,-5.4998,Ori
453,LQ Ori,,,427394824,12.36,K2 V(Li),,83.7945,-5.3958,Ori
130,AA Ori,,,427395669,12.85,K4 (Li),tt,83.7932,-5.7761,Ori
454,LV Ori,,,427394823,12.82,K1 V(Li),,83.8023,-5.3956,Ori
131,V486 Ori,,,427395636,14.09,K7,tt,83.8017,-5.7220,Ori
133,LX Ori,,,427395578,12.09,K3,tt,83.8043,-5.6598,Ori
134,V488 Ori,,,427395420,12.98,,,83.8065,-5.5160,Ori
132,P1817,,,,11.13,K2 (Li),,83.8131,-4.7454,Ori
135,AB Ori,,,427395634,13.62,K7,tt,83.8094,-5.7216,Ori
455,P1869,,,,13.79,G5: (Li),,83.8163,-5.3972,Ori
136,TT Ori,,,427393274,14.31,K1,,83.8198,-4.7625,Ori
456,MR Ori,,,427394424,10.55,A2 V,*,83.8205,-5.3626,Ori
457,AE Ori,,,427394374,13.03,K5 III:(Li),,83.8215,-5.3589,Ori
137,AD Ori,37024,,427394632,14.74,cont,tt,83.8221,-5.3766,Ori
458,MT Ori,,,427394656,12.01,"K3,4 (Li)",,83.8245,-5.3793,Ori
459,P1925,,,,13.38,"G8,K0: (Li)",,83.8263,-5.3771,Ori
138,P1931,,,,13.9,K7,tt,83.8237,-5.9741,Ori
460,MV Ori,,,,12.23,F8:npe (Li),su,83.8275,-5.3427,Ori
461,TU Ori,,,427394279,13.22,G0n V (Li)*,su,83.8340,-5.3492,Ori
462,MX Ori,,4774-877-1,427393718,9.9,G2 (Li),,83.8384,-5.1545,Ori
463,P1955,,,,10.96,G1:n(Li),,83.8386,-5.2036,Ori
464,CQ Tau,36910,1865-1798-1,74632969,10.0,A8ve@  *,?,83.9935,+24.7485,Tau
139,V1007 Ori,,,427393044,14.55,M0.5,tt,83.8451,-4.4809,Ori
140,AG Ori,,,427395502,15.4,K6,tt,83.8402,-5.5797,Ori
465,P1996,,,,10.98,G5 IV?p(Li),,83.8415,-5.8521,Ori
142,NS Ori,,,427395859,17.2,M1,tt,83.8520,-6.0294,Ori
466,AH Ori,,,427393741,,K3 (Li),,83.8570,-5.1638,Ori
467,NP Ori,,,427393701,11.88,K1 III-IV,,83.8593,-5.1445,Ori
468,AK Ori,,,427395148,12.41,G0nIII:(Li),su,83.8595,-5.4278,Ori
141,AI Ori,,,427393785,,G3:IV-V(Li),,83.8617,-5.1854,Ori
469,P2057,,,,14.09,"K1,2 IV-V",,83.8710,-5.1011,Ori
143,AL Ori,,,427393449,14.99,"K7,M0",tt,83.8788,-4.9216,Ori
470,HH34/source,,,,,"G,K?",,83.8746,-6.4502,Ori
471,NV Ori,,4774-890-1,427395473,9.91,"F4,8 III,V",,83.8805,-5.5525,Ori
144,V360 Ori,,,427393728,12.61,K6,tt,83.8829,-5.1578,Ori
472,HH34/IRS 5,,,,,,tt,83.8784,-6.4458,Ori
145,TW Ori,,,388918307,15.01,M0.5,tt,83.8792,-6.7548,Ori
146,AM Ori,,,427396403,14.08,K4,tt,83.8967,-5.3576,Ori
148,NY Ori,,,427396662,,cont,tt,83.9003,-5.2067,Ori
147,TV Ori,,,427396813,13.4,K6,,83.9018,-5.0211,Ori
473,P2143,,,,13.5,"M3? II,III?",,83.9126,-5.1490,Ori
149,BO Ori,,,427397298,14.1,K4,tt,83.9297,-4.4156,Ori
150,AN Ori,,,427396239,11.32,"K0,1 IV(Li)",,83.9247,-5.4702,Ori
474,V571 Ori,,,388918129,14.43,M0 V(Li),tt,83.9208,-6.3796,Ori
475,V569 Ori,,,427396721,13.73,K5 V,,83.9300,-5.1547,Ori
151,V573 Ori,,,388918232,15.28,M0,tt,83.9280,-6.5809,Ori
476,V500 Ori,,,427396746,12.93,K2: V(Li),tt,83.9370,-5.1215,Ori
152,CE Ori,,,427396809,15.65,K5,tt,83.9513,-5.0248,Ori
477,V1018 Ori,,,427396806,16.24,M1,tt,83.9539,-5.0274,Ori
154,T Ori,,4774-866-1,427396230,9.96,A3e@,ae,83.9600,-5.4764,Ori
153,OT Ori,,,427396528,14.68,K5,tt,83.9613,-5.2748,Ori
478,P2244,,,,12.62,K1-2 V,,83.9652,-5.1360,Ori
479,P2252,,,,11.52,"G7 IV,V(Li)",,83.9693,-5.0850,Ori
155,AR Ori,,,427396781,13.84,"K7,M0",tt,83.9753,-5.0708,Ori
157,AU Ori,,,427395957,16.09,"K7,M0",tt,83.9902,-5.9553,Ori
156,V390 Ori,,,427396839,15.79,M1,,83.9965,-4.9795,Ori
158,V577 Ori,,,388935228,13.98,K7,tt,83.9892,-6.7114,Ori
480,P2292,,,,11.4,"G5,8 IV,V",,83.9960,-5.6665,Ori
481,AV Ori/c,,,388935232,17.9,cont,tt,84.0005,-6.7092,Ori
159,AV Ori,,,388935230,13.98,K4,tt,84.0005,-6.7092,Ori
482,BN Ori,245465,126-781-1,436243092,9.64,"F2,3e@",?,84.1222,+6.8337,Ori
162,AZ Ori,,,427454279,13.56,K6,,84.0708,-5.1954,Ori
160,PQ Ori,,,427452058,12.63,F5:,,84.0875,-2.1828,Ori
161,PU Ori,,,427450684,14.6,K3:,tt,84.1013,-0.7033,Ori
483,>,,,,17.7,G8:,wt,84.0892,-6.7602,Ori
164,V380 Ori,,4778-1367-1,388935225,10.0,A1:e,ae,84.1058,-6.7161,Ori
163,V951 Ori,,,427454503,15.4,M1,tt,84.1145,-5.5154,Ori
165,BD Ori,,,388935622,12.82,K3,,84.1352,-6.3223,Ori
166,BC Ori,,,427455204,15.07,M0,tt,84.1551,-5.4405,Ori
484,P2441/c,,,,15.1,M1.5,tt,84.2137,-4.4278,Ori
167,P2441,,,,10.76,G5: (Li),,84.2137,-4.4279,Ori
485,V586 Ori,37258,4778-1079-1,287757971,9.54,*,,84.2470,-6.1546,Ori
168,BE Ori,,,287840176,14.16,K0,tt,84.2492,-6.5573,Ori
486,V381 Ori,,,276664175,12.45,G8 V,,84.2600,-5.6083,Ori
487,P2494,,,,10.74,K0 IV (Li),,84.2897,-6.1046,Ori
169,BF Ori,,,287840183,10.32,A5e+shell,?,84.3054,-6.5835,Ori
488,V1143 Ori,,,11202039,14.6,M,tt,84.5159,-4.2784,Ori
489,V883 Ori,,,332857059,,,,84.5813,-7.0364,Ori
172,TX Ori,,,11286062,13.71,K4,tt,84.6405,-2.7377,Ori
173,TY Ori,,,11286071,13.6,K3,,84.6495,-2.7330,Ori
174,Haro 7-1,,,332861108,13.15,K5,tt,84.6466,-7.8388,Ori
490,>,,,,16.8,M0.5,,84.6742,-7.2130,Ori
491,Haro 2-249,,,,15.12,cont,tt,84.6784,-7.2122,Ori
170,RR Tau,,1869-335-1,75242497,10.9,"B8,9e@",ae,84.8772,+26.3737,Tau
492,+26# 887,,,,10.47,B8e@q,,84.8776,+26.3228,Tau
171,LkH@ 206,,,,13.3,K3,,84.8899,+26.3296,Tau
176,Haro 4-255,,,332918487,15.7,K7,tt,84.8431,-7.4458,Ori
177,V510 Ori,,,11296067,13.21,cont,tt,84.9160,-2.5229,Ori
493,V350 Ori,,5350-671-1,332970982,,B:e   *,ae,85.0486,-9.7028,Ori
179,Haro 7-4,,,332973858,13.79,K3,tt,85.1040,-8.1258,Ori
494,Reipurth 50,,,332974025,,,,85.1249,-7.4821,Ori
495,>,,,,13.7,K6,tt,85.1926,-8.0901,Ori
