hip,hd,ra_deg,dec_deg,vmag,sptype
48437,85558,148.12696211,-8.10491559,5.070000171661377,A2V
107763,207650,327.46117477,30.17427852,5.070000171661377,A1Vs
52457,92825,160.85429114,23.18838442,5.079999923706055,A3Vn
16292,21447,52.50095974,55.45183695,5.090000152587891,A1V
59819,106661,184.00097886,14.89914477,5.090000152587891,A3V
77660,141851,237.81519764,-3.09042957,5.090000152587891,A3Vn
113788,217782,345.6514039,42.7578062,5.090000152587891,A3Vn
20522,27820,65.96599009,9.46098377,5.099999904632568,A3V
6960,9132,22.40041765,-21.62934677,5.110000133514404,A0V
35406,57219,109.65913632,-36.74274935,5.110000133514404,A0V
90191,169702,276.05750733,39.50724983,5.110000133514404,A3IVn
91875,172777,280.94558795,-38.32331062,5.110000133514404,A0/A1V
8882,11753,28.59191795,-42.49688104,5.119999885559082,A3V
56250,100262,172.95336415,-59.51564932,5.119999885559082,A3Ia
6061,7804,19.4499337,3.61452038,5.130000114440918,A3V
11477,15427,37.00704179,-33.81105246,5.130000114440918,A2/A3V
84887,157198,260.2259101,24.49943984,5.130000114440918,A2V
16322,21686,52.60198294,11.33648129,5.139999866485596,A0Vn
17886,23848,57.3862602,33.09138142,5.139999866485596,A3V
34105,54118,106.07632905,-56.7497313,5.139999866485596,A0p:
39567,66664,121.2687908,13.11837053,5.139999866485596,A1V
64906,115735,199.56058516,49.68201519,5.139999866485596,A0V
78105,142629,239.2228396,-33.96602225,5.139999866485596,A3V
67244,119921,206.73483886,-36.25190473,5.150000095367432,A0V
102531,197963,311.66194885,16.12462394,5.150000095367432,A2Ia+...
11060,14489,35.58930899,55.84565637,5.159999847412109,A2Ia
13717,18331,44.15602146,-3.71221461,5.159999847412109,A3Vn
90887,170642,278.08877815,-39.70390941,5.159999847412109,A3V
105570,203562,320.72325739,6.81111338,5.159999847412109,A3V
2381,2696,7.59446346,-23.78771429,5.170000076293945,A3V
20507,27861,65.92033483,-3.74533244,5.170000076293945,A2V
58188,103632,179.00409802,-17.15080863,5.170000076293945,A0V
60514,107966,186.07724865,26.09861325,5.170000076293945,A3V
2225,2421,7.05660466,44.39448925,5.179999828338623,A2Vs
22833,31283,73.69544409,11.42597336,5.179999828338623,A3V
101260,196502,307.87666197,74.95465942,5.179999828338623,A0p...
42425,74405,129.77136771,-70.38665235,5.190000057220459,A0V
77277,141653,236.66647764,62.59969448,5.190000057220459,A2IV
111797,214734,339.6627275,63.5845212,5.190000057220459,A3IV
115404,220278,350.66291976,-15.03938012,5.190000057220459,A3V
19949,26764,64.17960437,53.61180318,5.199999809265137,A2Vn
27971,39220,88.74093802,59.88841219,5.199999809265137,A2V
32104,48097,100.60134402,17.64551421,5.199999809265137,A2V
5300,6767,16.94927201,-41.48693516,5.210000038146973,A3V
28296,40446,89.70658741,0.55297359,5.210000038146973,A1Vs
13874,18543,44.67538999,-2.78272383,5.21999979019165,A2IV
31119,46089,97.9512018,11.5443434,5.21999979019165,A3V
92405,174602,282.47052043,32.55108873,5.21999979019165,A3V
17717,23878,56.91508473,-23.87479582,5.239999771118164,A1V
17954,23985,57.57881165,25.57964862,5.239999771118164,A2V
25197,34787,80.86594376,57.54453138,5.239999771118164,A0Vn
35393,57240,109.63966607,-39.21030701,5.239999771118164,A0V
42334,73495,129.46736838,-26.25497008,5.239999771118164,A0V
10559,13869,33.98456296,33.35897589,5.25,A0V
13141,17848,42.2556956,-62.80659207,5.25,A2V
37921,62832,116.56757952,10.76831128,5.25,A1Vnn
31434,46553,98.80025751,28.02234399,5.260000228881836,A0Vnn
10320,13709,33.22691696,-30.72384252,5.269999980926514,A0V
36760,60107,113.4020791,15.82669239,5.269999980926514,A1Vn
48682,85795,148.92919035,49.81979501,5.269999980926514,A3III
83313,154029,255.40149728,33.56826922,5.269999980926514,A3IV
32921,49908,102.88770733,21.76123162,5.28000020980835,A2V
41003,71576,125.51884143,-73.40005893,5.28000020980835,A0/A1IV/V
43142,74988,131.81253189,-1.89705972,5.28000020980835,A3V
45581,80951,139.35504716,-74.89439024,5.28000020980835,A1V
74596,135502,228.62168817,29.16422593,5.28000020980835,A2V
98103,188728,299.05930285,11.42370978,5.28000020980835,A1IV
110618,211998,336.14329493,-72.25377388,5.28000020980835,A3V: + F9V
9312,11946,29.90828959,64.62163894,5.289999961853027,A0Vn
10793,14252,34.73745342,28.64267411,5.289999961853027,A2V
22287,30121,72.00090298,56.75753919,5.289999961853027,A3m
60904,108662,187.22799077,25.91288804,5.289999961853027,A0p
12489,16628,40.17097186,27.06100903,5.300000190734863,A3V
21928,29722,70.72624534,43.36526451,5.300000190734863,A1Vn
32411,49048,101.49750507,-14.79608441,5.300000190734863,A1IV/V
34802,55719,108.06592133,-40.49877843,5.300000190734863,A3p...
47479,84121,145.17751102,-57.98357162,5.300000190734863,A3IV
56034,99787,172.26734378,39.33694235,5.300000190734863,A2V
104365,201184,317.1400538,-21.19352539,5.300000190734863,A0V
10819,14212,34.82019851,47.37998782,5.309999942779541,A1V
37701,61931,116.01744892,50.43386115,5.309999942779541,A0IIIn
57562,102510,176.97888233,8.24586534,5.309999942779541,A1
5518,6829,17.66360631,68.77868759,5.320000171661377,A0Vnn
26126,36777,83.5699587,3.76693355,5.320000171661377,A2V
52911,93702,162.31430258,10.54526139,5.320000171661377,A2V
73049,131625,223.93622772,-33.85578004,5.320000171661377,A0V
97749,187474,297.96079231,-39.87433805,5.320000171661377,A0p
5131,6456,16.42053152,21.4732162,5.329999923706055,A1Vn
39734,67456,121.82519225,-20.55434589,5.329999923706055,A3Ib/II
20186,27309,64.90286245,21.77359174,5.340000152587891,A0p Si
58884,104878,181.1622784,-68.32889673,5.340000152587891,A0V
59184,105416,182.0613737,-48.69247036,5.340000152587891,A1V
76866,140160,235.44746556,12.84753869,5.340000152587891,A0p Sr
96288,184875,293.67190527,42.41258465,5.340000152587891,A2V
52638,93152,161.46630065,30.68240198,5.360000133514404,A1Vn
58510,104181,179.98718202,3.65521716,5.360000133514404,A1V
84821,157087,260.04094409,25.53764398,5.360000133514404,A3III
54746,97495,168.13810684,-49.10107805,5.369999885559082,A2III
92112,175286,281.59276611,75.43379735,5.369999885559082,A1Vn
20264,27616,65.16248826,-20.63959902,5.380000114440918,A0V
24799,34452,79.7500805,33.74846576,5.380000114440918,A0p...
38722,64648,118.91626746,19.88406657,5.380000114440918,A0Vs
62572,112028,192.30750199,83.41285818,5.380000114440918,A1IIIsh
70931,126983,217.58746947,-49.51892657,5.380000114440918,A1V
73095,131562,224.07177099,-52.80956707,5.380000114440918,A2III
13202,17729,42.47562958,-27.94203549,5.389999866485596,A1V
29850,43525,94.27756971,9.94253598,5.389999866485596,A2V
39538,64486,121.19660915,79.47974268,5.389999866485596,A0p...
56391,100493,173.40526595,-40.58670322,5.389999866485596,A2IV/V
71618,129002,219.70950726,44.40454503,5.389999866485596,A1V
96302,184759,293.71216081,29.46291111,5.389999866485596,A0V+...
101483,195943,308.48748693,13.02720146,5.389999866485596,A3IVs
105966,204414,321.91679163,27.60854356,5.389999866485596,A1V
17854,23277,57.30708659,70.87120237,5.400000095367432,A2m
26536,37269,84.65874822,30.49244147,5.400000095367432,A2V + GIII
54849,97585,168.43991709,-0.06950857,5.400000095367432,A0V
65728,117376,202.1132421,59.94570301,5.400000095367432,A1Vn
93526,176984,285.7270496,-3.69900363,5.400000095367432,A1V
93713,178207,286.22987335,53.39660317,5.400000095367432,A0Vn
3544,4222,11.32168124,55.2214087,5.409999847412109,A2Vs
97646,186957,297.68657002,-59.19363715,5.409999847412109,A0IV
101800,196544,309.45456696,11.37769664,5.420000076293945,A2V
23983,33254,77.33168451,9.82959768,5.429999828338623,A2m
54173,96146,166.22587294,-35.804689,5.429999828338623,A0V
54477,96819,167.18353198,-28.08061647,5.429999828338623,A1V
117447,223385,357.20906201,62.21451996,5.429999828338623,A3Ia comp
47204,83520,144.3028174,-53.66848607,5.440000057220459,A2/A3V
52737,93397,161.71693697,-17.29683026,5.440000057220459,A3V
78893,145454,241.5822169,67.80998136,5.440000057220459,A0Vn
79963,146667,244.82350183,-42.67394008,5.440000057220459,A3Vn
44405,77350,135.68444595,24.45293256,5.449999809265137,A0III
59394,105850,182.76617138,-23.60237239,5.449999809265137,A1V
108294,208321,329.09495119,-37.25363145,5.449999809265137,A3V
111056,213798,337.47070072,78.82433733,5.449999809265137,A3V
24902,34557,80.0611822,41.08633916,5.460000038146973,A3V
27196,38104,86.47520331,49.82628283,5.460000038146973,A0p...
28943,41841,91.63376334,-23.11077641,5.460000038146973,A2V
35180,56405,109.06075146,-15.58565483,5.460000038146973,A1V
66634,119024,204.87741499,52.92107136,5.460000038146973,A3Vn
92308,173715,282.21029394,-43.67999681,5.460000038146973,A2Vn
42080,72037,128.6507805,65.14527349,5.46999979019165,A2m
43325,75630,132.41319515,-40.32015599,5.46999979019165,A2/A3IV
52004,92207,159.36281779,-58.73334704,5.46999979019165,A0Ia
