bd,mwc,hd,tyc,tic,vmag,sptype,ra_deg,dec_deg,constellation
BD-21 1962,MWC   181,59497,5991-3154-1,139853680,8.5,Be*,112.3661,-21.8583,Pup
BD-10 2073,MWC   563,,5404-822-1,6278124,10.32,Be*,112.4961,-11.2624,Pup
BD-11 1994,MWC   564,60260,5405-3269-1,6780465,9.04,Be*,113.2965,-11.6113,Pup
CD-32 4140,AS    156,,7109-828-1,113383695,10.6,Be*,113.2511,-32.5524,Pup
CD-36 3715,MWC   183,60606,7117-2765-1,174008063,5.54,"B3 V,ne",113.4623,-36.3382,Pup
CP-40 1557,HEN    44,60669,7648-649-1,173956099,9.3,B8 III,113.4621,-40.9299,Pup
CP-46 1573,HEN    45,60794,8133-2627-1,123036723,8.85,B4 III,113.5282,-46.6437,Pup
CD-22 4761,,,6539-351-1,348909897,10.6,Be*,113.9470,-22.8765,Pup
BD-14 1999,MWC   565,60855,5409-2527-1,259449942,5.7,"B2 V,e",114.0162,-14.4923,Pup
BD-10 2133,,,5401-2162-1,7560810,10.5,Be*,114.4066,-10.9723,Mon
BD-12 2062,,61205,5405-1569-1,288482542,9.3,Be*,114.4162,-12.7566,Pup
BD-14 2053,MWC   849,61224,5409-111-1,,6.53,B9 III,114.4117,-14.4404,Pup
CD-32 4219,,61355,7109-710-1,114408887,8.7,B3 V ep,114.3693,-32.3963,Pup
CD-24 5721,AS    160,,6543-2157-1,110901795,11.2,Be*,114.7753,-24.7505,Pup
BD-11 2043,MWC   566,,5418-45-1,289002302,9.5,Be*,114.9254,-12.2594,Pup
CD-37 3770,,61925,7644-2701-1,174664153,6.0,B6 IV,114.9910,-37.5789,Pup
BD-04 2062,MWC   567,62367,4839-2075-1,68003064,7.1,B6 III,115.8836,-4.6802,Mon
BD-17 2120,MWC   569,62532,5984-433-1,140463236,8.41,"B1: V:,nnep",115.9383,-17.9458,Pup
CD-40 3379,MWC   185,62753,7649-1034-1,175252490,6.63,B2.5 V ne,115.9499,-40.3089,Pup
CD-26 4881,MWC   573,62780,6548-3197-1,126595601,9.16,B2 III ne,116.1465,-26.9446,Pup
CP-42 1577,HEN    66,62894,7653-3542-1,123828144,9.7,B8,116.0635,-43.0175,Pup
BD-21 2102,,62654,5993-3478-1,140529988,9.6,B3: V ne,116.0909,-21.7379,Pup
CD-23 6121,AS    168,,6540-3460-1,126780374,9.4,Be*,116.2842,-24.1294,Pup
CD-36 3865,MWC   850,63150,7118-2686-1,175469491,8.7,B0.5 IV nep,116.4795,-36.4981,Pup
CD-26 4955,AS    173,,6548-3401-1,127083488,10.46,Be*,116.6501,-26.6935,Pup
BD-20 2183,,,5993-3427-1,141108473,9.3,Be*,116.7461,-21.1611,Pup
CP-55 1332,HEN    81,63453,8556-1506-1,340633517,9.2,"B9 V,n",116.4997,-56.1931,Car
CD-26 4982,MWC   851,63359,6548-3130-1,127332898,9.6,B1 V pe,116.8829,-26.6814,Pup
CD-30 5098,,63423,7106-2285-1,150010011,7.9,B1 II ne,116.8970,-30.5479,Pup
CD-25 5081,MWC   186,63462,6544-4213-1,127493611,4.5,"B0 V :p,e:,VB",117.0212,-25.9370,Pup
CP-40 1806,,63988,7649-1765-1,131104893,7.0,B8 V,117.4669,-40.9142,Pup
BD-21 2155,MWC   575,64298,5994-1533-1,142074597,8.7,B2 IV: nne,118.1252,-21.9992,Pup
CP-59  922,HEN    92,64831,8565-672-1,341040849,7.8,"B8 V,n",118.0930,-59.4929,Car
CP-44 1966,HEN    91,64716,8135-1809-1,143543729,8.42,B6 V,118.2991,-45.2184,Pup
CD-24 6131,MWC   576,64639,6557-847-1,128900547,11.5,B1 III ne,118.4663,-24.8032,Pup
BD+ 3 1848,MWC   188,65079,185-1202-1,266656195,7.83,B2 V (n)(e.),119.2663,+2.9503,CMi
CP-60  937,HEN   103,65663,8911-2182-1,358467471,6.77,"B8 III,e",119.0659,-61.0993,Car
CD-32 4657,AS    191,,7124-2506-1,152085912,9.2,Be*,119.7287,-32.5570,Pup
CD-24 6271,,65719,6558-1416-1,130192760,9.4,Be*,119.7711,-25.2766,Pup
CP-60  968,HEN   109,,8911-1364-1,372913367,8.6,B9 p shell,119.4320,-60.8197,Car
CD-28 5235,,,6566-1824-1,130340134,10.1,Be*,119.8427,-28.9058,Pup
CD-48 3361,,65930,8139-3099-1,285916305,6.8,B3 V e,119.7528,-48.3760,Pup
CP-60 1006,HEN   110,66194,8911-3394-1,364398342,5.81,"B2 IV,nep",119.7102,-60.8242,Car
BD- 2 2379,MWC   190,65875,4850-2867-1,73039225,6.51,B2 V n,120.1837,-2.8814,Mon
CD-31 5475,HEN   118,,7120-1850-1,419430880,9.9,Be*,121.0462,-31.4059,Pup
CD-30 5559,AS    196,,7120-2069-1,419494384,10.8,Be*,121.1188,-30.9715,Pup
CD-23 6846,,67698,6555-1743-1,176359324,6.63,"B5 V,e",122.0804,-23.6173,Pup
CD-37 4288,,67888,7659-3586-1,134321089,6.37,"B4 V,e",122.1564,-37.6814,Pup
CP-41 2169,HEN   126,67978,7667-1860-1,80899869,8.5,B2 Vnn(e),122.1726,-42.0560,Pup
CP-63  896,HEN   128,68423,8932-2484-1,308748912,6.28,B6 V,122.1027,-63.8007,Car
BD-13 2429,MWC   577,68468,5438-850-1,125131290,8.78,Be*,123.0013,-14.1685,Pup
CP-54 1545,HEN   136,69026,8570-1427-1,342201547,8.48,B1/B2 V,123.0871,-55.3525,Car
CD-35 4349,MWC   192,68980,7133-4588-1,146036695,4.78,"B1.5 III,e",123.3727,-35.8991,Pup
CD-27 5181,AS    197,,6568-154-1,155573117,11.6,Be*,123.5151,-28.3232,Pup
CD-46 3931,,69168,8136-5348-1,81615536,6.5,B3 V,123.4397,-46.5785,Vel
CP-49 1566,HEN   140,,8144-2600-1,238791674,10.0,Be*,123.5852,-50.1627,Vel
